doctor_id,name,gender,clinic_id,specialty,symptoms,experience_years
172,"BS Ngô Thị Kim",Nữ,49,"Sơ sinh","Sơ sinh;Nuôi con;Bú mẹ",8
173,"BS Đỗ Văn Long",Nam,50,"Đa khoa;Tim mạch","Mệt mỏi;Đau ngực;Huyết áp cao",15
174,"BS Trần Thị Mai",Nữ,50,"Thần kinh;Đột quỵ","Đau đầu;Chóng mặt;Tê bì;Liệt",12
175,"BS Phạm Văn Nam",Nam,50,"Thận - Niệu","Tiểu buốt;Tiểu máu;Sưng thận",10
176,"BS Lê Thị Oanh",Nữ,50,"Ghép thận;Ngoại khoa","Ghép thận;Phẫu thuật;Chấn thương",10
177,"BS Hoàng Văn Phúc",Nam,51,"Đa khoa;Nhi khoa","Mệt mỏi;Sốt;Trẻ em;Sơ sinh",12
178,"BS Vũ Thị Quỳnh",Nữ,51,"Sản phụ khoa;Tim mạch","Khám thai;Đau ngực;Huyết áp cao",10
179,"BS Bùi Văn Rồng",Nam,51,"Ung bướu;Ngoại khoa","Khối u;Phẫu thuật;Sút cân",10
180,"BS Ngô Thị Sương",Nữ,51,"Cấp cứu","Cấp cứu;Chấn thương;Sốc;Ngất",8
181,"BS Đỗ Văn Thái",Nam,52,"Đa khoa;Tim mạch","Mệt mỏi;Đau ngực;Huyết áp cao",12
182,"BS Trần Thị Thu",Nữ,52,"Nội khoa;Sản phụ khoa","Mệt mỏi;Khám thai;Rối loạn kinh nguyệt",10
183,"BS Phạm Văn Tùng",Nam,52,"Nhi khoa","Sốt;Ho;Sổ mũi;Phát ban",10
184,"BS Lê Thị Uyên",Nữ,52,"Chẩn đoán hình ảnh","Chụp CT;Siêu âm;X-quang",8
185,"BS Hoàng Văn Việt",Nam,53,"Đa khoa;Ngoại khoa","Mệt mỏi;Phẫu thuật;Chấn thương",10
186,"BS Vũ Thị Xuân",Nữ,53,"Tim mạch;Nhi khoa","Đau ngực;Trẻ em;Mệt mỏi",8
187,"BS Bùi Văn Yên",Nam,53,"Sản phụ khoa;Ung bướu","Khám thai;Khối u;Phẫu thuật",10
188,"BS Ngô Thị Zinh",Nữ,53,"Nội khoa","Mệt mỏi;Sốt;Đau đầu",8
189,"BS Đỗ Văn An",Nam,54,"Đa khoa","Mệt mỏi;Sốt;Đau đầu;Chán ăn",10
190,"BS Trần Thị Bình",Nữ,54,"Tim mạch;Cấp cứu","Đau ngực;Khó thở;Cấp cứu",8
191,"BS Phạm Văn Cường",Nam,54,"Ngoại khoa","Phẫu thuật;Chấn thương;Gãy xương",10
192,"BS Lê Thị Dung",Nữ,54,"Sản phụ khoa","Khám thai;Sinh nở;Rối loạn kinh nguyệt",8
193,"BS Hoàng Văn Em",Nam,55,"Nhi khoa","Sốt;Ho;Sổ mũi;Phát ban;Chán ăn",10
194,"BS Vũ Thị Giang",Nữ,55,"Nhi sơ sinh","Sơ sinh;Nuôi con;Bú mẹ;Sức khỏe sơ sinh",8
195,"BS Bùi Văn Hùng",Nam,55,"Nhi ngoại","Phẫu thuật nhi;Chấn thương nhi",8
196,"BS Ngô Thị Kim",Nữ,55,"Hồi sức nhi","Hồi sức;Cấp cứu nhi;Sơ sinh",10
197,"BS Đỗ Văn Long",Nam,56,"Tâm thần","Mất ngủ;Lo lắng;Stress;Trầm cảm",10
198,"BS Trần Thị Mai",Nữ,56,"Tâm lý lâm sàng","Lo lắng;Trầm cảm;Rối loạn giấc ngủ",8
